,event,logger,level,timestamp,thread,pair,metadata_calculation_interval_in_seconds,metadata_update_interval_in_seconds,total_runtime_in_seconds
125,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:28.890757Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_barrier_appointment_time_has)",,,
126,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:29.740423Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_barrier_appointment_time_tried)",,,
127,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:29.752709Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_childcare)",,,
128,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:29.963390Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_barrier_childcare_has)",,,
129,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:32.945245Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_barrier_childcare_tried)",,,
130,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:32.987456Z,MetacacheThread-2,"(fb-survey, smoothed_vaccine_barrier_document)",,,
131,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:33.115248Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_barrier_document_has)",,,
132,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:34.140254Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_barrier_document_tried)",,,
133,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:34.243030Z,MetacacheThread-1,"(fb-survey, smoothed_vaccine_barrier_eligible)",,,
134,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:34.375619Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_barrier_eligible_has)",,,
135,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:37.162793Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_barrier_eligible_tried)",,,
136,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:37.297981Z,MetacacheThread-7,"(fb-survey, smoothed_vaccine_barrier_language)",,,
137,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:37.476484Z,MetacacheThread-2,"(fb-survey, smoothed_vaccine_barrier_language_has)",,,
138,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:38.300644Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_barrier_language_tried)",,,
139,starting pair,compute_covidcast_meta,info,2022-01-01T04:03:38.523419Z,MetacacheThread-6,"(fb-survey, smoothed_vaccine_barrier_none)",,,
